name,launch date,source,intended usage,tdp (W),cores,threads
amd a4-9120c,2019-01-06,https://en.wikichip.org/wiki/amd/a4/a4-9120c,Mobile,6.0,2,2.0
amd a6-9220c,2019-01-06,https://en.wikichip.org/wiki/amd/a6/a6-9220c,Mobile,6.0,2,2.0
amd a8 7680,2019-01-17,https://en.wikichip.org/wiki/amd/a8/7680,Desktop,45.0,4,4.0
alchemy au1200-333mgc,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgc,Embedded,1.5,1,
alchemy au1200-333mgd,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgd,Embedded,1.5,1,
alchemy au1200-333mgf,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgf,Embedded,1.5,1,
alchemy au1200-333mgi,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-333mgi,Embedded,1.5,1,
alchemy au1200-400mgc,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-400mgc,Embedded,1.6,1,
alchemy au1200-400mgd,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-400mgd,Embedded,1.6,1,
alchemy au1200-500mgc,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-500mgc,Embedded,1.6,1,
alchemy au1200-500mgd,2005-05-01,https://en.wikichip.org/wiki/alchemy/au1200-500mgd,Embedded,1.6,1,
alchemy au1210-333mgd,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-333mgd,Embedded,0.92,1,
alchemy au1210-333mgf,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-333mgf,Embedded,0.92,1,
alchemy au1210-400mgd,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-400mgd,Embedded,1.0,1,
alchemy au1210-400mgf,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1210-400mgf,Embedded,1.0,1,
alchemy au1250-400mgd,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-400mgd,Embedded,1.2,1,
alchemy au1250-400mgf,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-400mgf,Embedded,1.2,1,
alchemy au1250-500mgd,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-500mgd,Embedded,1.3,1,
alchemy au1250-500mgf,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-500mgf,Embedded,1.4,1,
alchemy au1250-600mgd,2007-06-05,https://en.wikichip.org/wiki/alchemy/au1250-600mgd,Embedded,1.4,1,
alchemy au1550-333mbc,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-333mbc,Embedded,1.35,1,
alchemy au1550-333mbd,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-333mbd,Embedded,1.35,1,
alchemy au1550-333mbf,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-333mbf,Embedded,1.35,1,
alchemy au1550-333mbi,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-333mbi,Embedded,1.35,1,
alchemy au1550-400mbc,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-400mbc,Embedded,1.46,1,
alchemy au1550-400mbd,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-400mbd,Embedded,1.46,1,
alchemy au1550-500mbc,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-500mbc,Embedded,1.44,1,
alchemy au1550-500mbd,2004-05-01,https://en.wikichip.org/wiki/alchemy/au1550-500mbd,Embedded,1.44,1,
amd amd-k6-iiie400acr,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-400acr,Embedded,9.5,1,1.0
amd amd-k6-iiie400atz,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-400atz,Embedded,9.5,1,1.0
amd amd-k6-iiie400icr,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-400icr,Embedded,9.5,1,1.0
amd amd-k6-iiie400itz,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-400itz,Embedded,9.5,1,1.0
amd amd-k6-iiie450acr,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-450acr,Embedded,12.0,1,1.0
amd amd-k6-iiie450apz,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-450apz,Embedded,12.0,1,1.0
amd amd-k6-iiie500acr,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-500acr,Embedded,14.5,1,1.0
amd amd-k6-iiie500anz,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-500anz,Embedded,14.5,1,1.0
amd amd-k6-iiie550acr,2000-09-25,https://en.wikichip.org/wiki/amd/k6-iii%2B/amd-k6-iiie%2B-550acr,Embedded,17.0,1,1.0
amd athlon 200ge,2018-09-06,https://en.wikichip.org/wiki/amd/athlon/200ge,Desktop,35.0,2,4.0
amd athlon 220ge,2018-12-21,https://en.wikichip.org/wiki/amd/athlon/220ge,Desktop,35.0,2,4.0
amd athlon 240ge,2018-12-21,https://en.wikichip.org/wiki/amd/athlon/240ge,Desktop,35.0,2,4.0
amd athlon 3000g,2019-11-20,https://en.wikichip.org/wiki/amd/athlon/3000g,Desktop,35.0,2,4.0
amd athlon 300u,2019-01-06,https://en.wikichip.org/wiki/amd/athlon/300u,Mobile,15.0,2,4.0
amd athlon gold 3150u,2020-01-06,https://en.wikichip.org/wiki/amd/athlon_gold/3150u,Mobile,15.0,2,4.0
amd athlon mp 1000,2001-06-05,https://en.wikichip.org/wiki/amd/athlon_mp/ahx1000ams3c,Server,46.1,1,1.0
amd athlon mp 1200,2001-06-05,https://en.wikichip.org/wiki/amd/athlon_mp/ahx1200ams3c,Server,54.7,1,1.0
amd athlon mp 1500,2001-10-15,https://en.wikichip.org/wiki/amd/athlon_mp/amp1500dms3c,Server,60.0,1,1.0
amd athlon mp 1600,2001-10-15,https://en.wikichip.org/wiki/amd/athlon_mp/amp1600dms3c,Server,62.8,1,1.0
amd athlon mp 1800,2001-10-15,https://en.wikichip.org/wiki/amd/athlon_mp/amp1800dms3c,Server,66.0,1,1.0
amd athlon mp 1900,2001-12-12,https://en.wikichip.org/wiki/amd/athlon_mp/amp1900dms3c,Server,66.0,1,1.0
