product_id,AWS instance,name,time,source,intended_usage,cores,threads,tdp (W)
AWS Graviton Processor,,AWS Graviton Processor,2025-06-05,https://www.nextplatform.com/2023/11/28/aws-adopts-arm-v2-cores-for-expansive-graviton4-server-cpu/,cloud,16,,95
AWS Graviton2 Processor,"M6g, T4g, C6g, C6gn, R6g, X2gd, G5g, I4g, Im4gn, Is4gen",AWS Graviton2 Processor,2025-06-05,https://www.nextplatform.com/2023/11/28/aws-adopts-arm-v2-cores-for-expansive-graviton4-server-cpu/,cloud,64,,110
AWS Graviton3 Processor,"M7g, C7g, C7gn, R7g, Hpc7g",AWS Graviton3 Processor,2025-06-05,https://www.nextplatform.com/2023/11/28/aws-adopts-arm-v2-cores-for-expansive-graviton4-server-cpu/,cloud,64,,100
AWS Graviton4 Processor,"M8g, C8g, R8g, X8g, I8g",AWS Graviton4 Processor,2025-06-05,https://www.nextplatform.com/2023/11/28/aws-adopts-arm-v2-cores-for-expansive-graviton4-server-cpu/,cloud,64,,240
AWS Graviton5 Processor,,AWS Graviton5 Processor,2025-06-05,https://www.nextplatform.com/2023/11/28/aws-adopts-arm-v2-cores-for-expansive-graviton4-server-cpu/,cloud,96,,130
Intel® Xeon® CPU E5-2686 v4 @ 2.30GHz,"M4, T2, R4, I3, H1",Intel® Xeon® CPU E5-2686 v4 @ 2.30GHz,2025-06-05,https://en.wikichip.org/wiki/intel/xeon_e5/e5-2686_v4#google_vignette,cloud,18,36,145
AMD EPYC 9R14 Processor,"M7a, C7a, R7a, Hpc7a",AMD EPYC 9R14 Processor,2025-06-11,https://www.serversupply.com/PROCESSORS/AMD%20EPYC%2096-Core/2.6%20GHz%20-%205GT%20DMI2/AMD/100-000000905_402839.htm,cloud,96,,360
Intel Xeon Platinum 8375C @ 2.90GHz,"M6i, C6i, C6in, R6i, R6in, X2idn, X2iedn, I4i",Intel Xeon Platinum 8375C @ 2.90GHz,2025-06-11,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8375C+%40+2.90GHz&id=4486,cloud,32,64,300
AMD EPYC 7R13 Processor,"M6a, C6a, R6a, P5, G6e, G6, Inf2, F2, Hpc6a",AMD EPYC 7R13 Processor,2025-06-11,https://forums.servethehome.com/index.php?threads/xeons-8461v-6338-epyc-7r13-aws-graviton-tested-by-minio-on-erasure-encoding-perf.40182/,cloud,48,96,225
Intel® Xeon® Platinum 8259CL @ 2.50GHz,"M5, M5n, R5, R5n, R5b, G4dn, DL2q, VT1, I3en, D3, D3en",Intel Xeon Platinum 8259CL @ 2.50GHz,2025-06-12,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8259CL+%40+2.50GHz&id=3671,cloud,24,48,210
Intel Xeon Platinum 8252C @ 3.80GHz,"M5zn, X2iezn, ",Intel Xeon Platinum 8252C @ 3.80GHz,2025-06-12,https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208252C.html,cloud,12,24,240
AMD EPYC 7571,"M5a, T3a, R5a",AMD EPYC 7571,2025-06-12,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7571&id=3543,cloud,32,64,120
Intel® Xeon® E5-2676 v3 @ 2.40GHz,"M4, T2, D2",Intel Xeon E5-2676 v3 @ 2.40GHz,2025-06-12,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2676+v3+%40+2.40GHz&id=2643,cloud,12,24,120
Intel® Xeon® Platinum 8175M @ 2.50GHz,"T3, R5, M5, I3en",Intel Xeon Platinum 8175M @ 2.50GHz,2025-06-12,https://www.servershop24.de/en/intel-xeon-platinum-8175m-cpu/a-122155/?srsltid=AfmBOoqzeemgFQK_v-39J4yn7AWuPfVrslzUwXgGJ1x4FLS0wpl_fKHs,cloud,24,48,240
Intel® Xeon® Platinum 8488C,"C7i, R7i, Trn2",Intel Xeon Platinum 8488C,2025-06-12,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8488C&id=5621,cloud,48,96,385
Intel® Xeon® Platinum 8275CL @ 3.00GHz,"C5, P4, Inf1, DL1",Intel Xeon Platinum 8275CL @ 3.00GHz,2025-06-12,https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208275CL.html,cloud,24,48,240
Intel® Xeon® Platinum 8124M @ 3.00GHz,"C5, C5n ",Intel Xeon Platinum 8124M @ 3.00GHz,2025-06-12,https://en.wikichip.org/wiki/intel/xeon_platinum/8124m,cloud,18,36,240
AMD EPYC 7R32,"C5a, G5, G4ad",AMD EPYC 7R32,2025-06-12,https://www.ebay.com/itm/175608451158,cloud,48,96,280
Intel® Xeon® E5-2666 v3 @ 2.90GHz,C4,Intel Xeon E5-2666 v3 @ 2.90GHz,2025-06-12,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2666+v3+%40+2.90GHz&id=2471,cloud,10,20,135
Intel® Xeon® Gold 6455B,R7iz,Intel Xeon Gold 6455B,2025-06-12,https://www.ebay.com/itm/405537421340,cloud,32,64,350
Intel® Xeon® Platinum 8176M Processor,U-1,Intel® Xeon® Platinum 8176M Processor,2025-06-12,https://www.intel.com/content/www/us/en/products/sku/120505/intel-xeon-platinum-8176m-processor-38-5m-cache-2-10-ghz/specifications.html,cloud,28,56,165
Intel® Xeon® Platinum 8151 @ 3.40GHz,z1d,Intel Xeon Platinum 8151 @ 3.40GHz,2025-06-12,https://unixsurplus.com/intel-xeon-platinum-8151-3-4ghz-12-core-24-threads-25mb-lga-3647-cpu-processor/?srsltid=AfmBOopwm0ZTWSoEvfFkm2Gyo5wkqAXTHpPK57TCQD86Gdt-F6Nh0AiA,cloud,12,24,240
Intel® Xeon® Platinum 8559C,"I7i, I7ie",Intel Xeon Platinum 8559C,2025-06-12,https://www.ebay.com/itm/226427684662,cloud,48,,385
default cloud,,default cloud,2025-06-12,default cloud,cloud,1,,6
