id,name,logo_file_name,logo_content_type,logo_file_size,url,created_at,updated_at
1,AMD,amd.png,image/png,28355,,"2014-11-17 00:01:22.614211","2014-11-17 00:02:41.378391"
2,Cypress,cypress.png,image/png,365119,,"2014-11-17 00:01:22.916589","2014-11-17 00:02:41.737651"
3,DEC,dec.png,image/png,11765,,"2014-11-17 00:01:22.952103","2014-11-17 00:02:41.908360"
4,Fujitsu,fujitsu.png,image/png,20535,,"2014-11-17 00:01:23.037476","2014-11-17 00:02:42.092245"
5,Hitachi,hitachi.png,image/png,21418,,"2014-11-17 00:01:23.181808","2014-11-17 00:02:42.365955"
6,HP,hp.png,image/png,15235,,"2014-11-17 00:01:23.209810","2014-11-17 00:02:42.540648"
7,IBM,ibm.png,image/png,8385,,"2014-11-17 00:01:23.315550","2014-11-17 00:02:42.728232"
8,IDT,,,,,"2014-11-17 00:01:23.592672","2014-11-17 00:01:23.592672"
9,Intel,intel.png,image/png,41240,,"2014-11-17 00:01:23.632655","2014-11-17 00:02:42.919294"
10,Motorola,motorola.png,image/png,55533,,"2014-11-17 00:01:23.964167","2014-11-17 00:02:43.181350"
11,NEC,,,,,"2014-11-17 00:01:24.072357","2014-11-17 00:01:24.072357"
12,Samsung,,,,,"2014-11-17 00:01:24.184109","2014-11-17 00:01:24.184109"
13,TI,,,,,"2014-11-17 00:01:24.239934","2014-11-17 00:01:24.239934"
14,Toshiba,,,,,"2014-11-17 00:01:24.411588","2014-11-17 00:01:24.411588"
15,unnamed,,,,,"2014-11-17 00:01:24.479672","2014-11-17 00:01:24.479672"
16,TSMC,,,,,"2014-11-17 00:01:24.532869","2014-11-17 00:01:24.532869"
17,MIPS,mips.png,image/png,9050,,"2014-11-17 00:01:25.907823","2014-11-17 00:02:43.352511"
18,SGI,sgi.png,image/png,54515,,"2014-11-17 00:01:25.934404","2014-11-17 00:02:43.550406"
19,Sun,sun.png,image/png,3437,,"2014-11-17 00:01:26.126922","2014-11-17 00:02:43.805351"
20,Broadcom,broadcom.png,image/png,21111,,"2014-11-17 00:01:53.325011","2014-11-17 00:02:43.959408"
21,Cyrix,cyrix.png,image/png,46975,,"2014-11-17 00:01:53.430913","2014-11-17 00:02:44.303952"
22,HAL,hal.png,image/png,9731,,"2014-11-17 00:01:57.492740","2014-11-17 00:02:44.439138"
23,MOS,mos.png,image/png,947,,"2014-11-17 00:02:16.252253","2014-11-17 00:02:44.679016"
24,NexGen,nexgen.png,image/png,841,,"2014-11-17 00:02:16.901316","2014-11-17 00:02:44.811371"
25,Ross,ross.png,image/png,17449,,"2014-11-17 00:02:16.962666","2014-11-17 00:02:44.959943"
26,Zilog,zilog.png,image/png,80849,,"2014-11-17 00:02:19.200358","2014-11-17 00:02:45.195973"
27,WDC,wdc.png,image/png,7128,,"2014-11-17 00:02:19.278765","2014-11-17 00:02:45.479767"
28,Centaur,centaur.png,image/png,15033,,"2014-11-17 00:02:19.517660","2014-11-17 00:02:45.648484"
