id,manufacturer_id,name,created_at,updated_at
1,9,Xeon,"2014-11-17 00:01:26.507795","2014-11-17 00:01:26.507795"
2,9,"Celeron D","2014-11-17 00:01:26.810009","2014-11-17 00:01:26.810009"
3,9,"Celeron M","2014-11-17 00:01:27.413912","2014-11-17 00:01:27.413912"
4,9,Celeron,"2014-11-17 00:01:27.771818","2014-11-17 00:01:27.771818"
5,9,"Celeron Mobile","2014-11-17 00:01:28.065712","2014-11-17 00:01:28.065712"
6,9,"Core Duo","2014-11-17 00:01:28.757504","2014-11-17 00:01:28.757504"
7,9,"Core Solo","2014-11-17 00:01:28.909847","2014-11-17 00:01:28.909847"
8,9,"Core 2 Duo","2014-11-17 00:01:29.041882","2014-11-17 00:01:29.041882"
9,9,"Pentium 4-M","2014-11-17 00:01:29.896831","2014-11-17 00:01:29.896831"
10,9,"Pentium 4","2014-11-17 00:01:30.433268","2014-11-17 00:01:30.433268"
11,9,"Pentium III","2014-11-17 00:01:31.105308","2014-11-17 00:01:31.105308"
12,9,"Pentium III Xeon","2014-11-17 00:01:31.159850","2014-11-17 00:01:31.159850"
13,9,"Pentium M","2014-11-17 00:01:31.399773","2014-11-17 00:01:31.399773"
14,9,Pentium,"2014-11-17 00:01:32.012234","2014-11-17 00:01:32.012234"
15,9,"Itanium 2","2014-11-17 00:01:32.238389","2014-11-17 00:01:32.238389"
16,9,"Core 2 Extreme","2014-11-17 00:01:32.752681","2014-11-17 00:01:32.752681"
17,9,"Core 2 Solo","2014-11-17 00:01:33.853416","2014-11-17 00:01:33.853416"
18,9,Atom,"2014-11-17 00:01:35.037450","2014-11-17 00:01:35.037450"
19,9,"Core 2 Quad","2014-11-17 00:01:35.811064","2014-11-17 00:01:35.811064"
20,9,"Core i7","2014-11-17 00:01:35.976683","2014-11-17 00:01:35.976683"
21,9,Itanium,"2014-11-17 00:01:37.321634","2014-11-17 00:01:37.321634"
22,9,"Core i5","2014-11-17 00:01:37.591252","2014-11-17 00:01:37.591252"
23,9,"Core i7 Extreme","2014-11-17 00:01:37.780746","2014-11-17 00:01:37.780746"
24,9,"Core i3","2014-11-17 00:01:37.983436","2014-11-17 00:01:37.983436"
25,9,"Pentium II Mobile","2014-11-17 00:01:39.411113","2014-11-17 00:01:39.411113"
26,1,80386,"2014-11-17 00:01:47.724924","2014-11-17 00:01:47.724924"
27,1,80486,"2014-11-17 00:01:47.759916","2014-11-17 00:01:47.759916"
28,1,Athlon,"2014-11-17 00:01:47.827687","2014-11-17 00:01:47.827687"
29,1,"Athlon 64","2014-11-17 00:01:48.485273","2014-11-17 00:01:48.485273"
30,1,FX,"2014-11-17 00:01:48.640003","2014-11-17 00:01:48.640003"
31,1,"Athlon 64 X2","2014-11-17 00:01:48.873295","2014-11-17 00:01:48.873295"
32,1,"Athlon II","2014-11-17 00:01:49.114700","2014-11-17 00:01:49.114700"
33,1,"Athlon MP","2014-11-17 00:01:49.167289","2014-11-17 00:01:49.167289"
