Intel® Product Specification Comparison
01/07/2025 03:16:59 PM
 ,Intel® Xeon® Processor D-1533N ,Intel® Xeon® Processor D-1513N ,Intel® Xeon® Processor D-1543N ,Intel® Xeon® Processor D-1523N ,Intel® Xeon® Processor D-1553N ,Intel® Xeon® D-2123IT Processor ,Intel® Xeon® D-2141I Processor ,Intel® Xeon® D-2143IT Processor ,Intel® Xeon® D-2142IT Processor ,Intel® Xeon® D-2145NT Processor ,Intel® Xeon® D-2146NT Processor ,Intel® Xeon® D-2161I Processor ,Intel® Xeon® D-2177NT Processor ,Intel® Xeon® D-2163IT Processor ,Intel® Xeon® D-2173IT Processor ,Intel® Xeon® D-2166NT Processor ,Intel® Xeon® D-2187NT Processor ,Intel® Xeon® D-2183IT Processor ,Intel® Xeon® Processor D-1524N ,Intel® Xeon® D-1653N Processor ,Intel® Xeon® D-1602 Processor ,Intel® Xeon® D-1622 Processor ,Intel® Xeon® D-1623N Processor ,Intel® Xeon® D-1627 Processor ,Intel® Xeon® D-1637 Processor ,Intel® Xeon® D-1633N Processor ,Intel® Xeon® D-1649N Processor ,Intel® Xeon® D-1736NT Processor ,Intel® Xeon® D-1733NT Processor ,Intel® Xeon® D-1746TER Processor ,Intel® Xeon® D-1749NT Processor ,Intel® Xeon® D-1713NT Processor ,Intel® Xeon® D-1735TR Processor ,Intel® Xeon® D-1713NTE Processor ,Intel® Xeon® D-1715TER Processor ,Intel® Xeon® D-1732TE Processor ,Intel® Xeon® D-1718T Processor ,Intel® Xeon® D-1712TR Processor ,Intel® Xeon® D-1714 Processor ,Intel® Xeon® D-1739 Processor ,Intel® Xeon® D-1736 Processor ,Intel® Xeon® D-1726 Processor ,Intel® Xeon® D-1722NE Processor ,Intel® Xeon® D-1734NT Processor ,Intel® Xeon® D-1702 Processor ,Intel® Xeon® D-1747NTE Processor ,Intel® Xeon® D-1748TE Processor ,Intel® Xeon® D-2712T Processor ,Intel® Xeon® D-2733NT Processor ,Intel® Xeon® D-2738 Processor ,Intel® Xeon® D-2745NX Processor ,Intel® Xeon® D-2753NT Processor ,Intel® Xeon® D-2757NX Processor ,Intel® Xeon® D-2776NT Processor ,Intel® Xeon® D-2777NX Processor ,Intel® Xeon® D-2766NT Processor ,Intel® Xeon® D-2779 Processor ,Intel® Xeon® D-2795NT Processor ,Intel® Xeon® D-2799 Processor ,Intel® Xeon® D-2798NX Processor ,Intel® Xeon® D-2798NT Processor ,Intel® Xeon® D-2752NTE Processor ,Intel® Xeon® D-2752TER Processor ,Intel® Xeon® D-2796NT Processor ,Intel® Xeon® D-2775TE Processor ,Intel® Xeon® D-2796TE Processor ,Intel® Xeon® D-2786NTE Processor ,Intel® Xeon® D-2739NT Processor ,Intel® Xeon® D-1731NTE Processor ,Intel® Xeon® D-1823NT Processor ,Intel® Xeon® D-1834 Processor ,Intel® Xeon® D-1846 Processor ,Intel® Xeon® D-1813NT Processor ,Intel® Xeon® D-1848TER Processor ,Intel® Xeon® D-1844NT Processor ,Intel® Xeon® D-2832NT Processor ,Intel® Xeon® D-2896NT Processor ,Intel® Xeon® D-2899NT Processor ,Intel® Xeon® D-2843NT Processor ,Intel® Xeon® D-2896TER Processor ,Intel® Xeon® D-2876NT Processor ,Intel® Xeon® Processor D-1520 ,Intel® Xeon® Processor D-1540 ,Intel® Xeon® Processor D-1529 ,Intel® Xeon® Processor D-1527 ,Intel® Xeon® Processor D-1537 ,Intel® Xeon® Processor D-1528 ,Intel® Xeon® Processor D-1541 ,Intel® Xeon® Processor D-1539 ,Intel® Xeon® Processor D-1518 ,Intel® Xeon® Processor D-1521 ,Intel® Xeon® Processor D-1531 ,Intel® Xeon® Processor D-1548 ,Intel® Xeon® Processor D-1559 ,Intel® Xeon® Processor D-1577 ,Intel® Xeon® Processor D-1571 ,Intel® Xeon® Processor D-1567 ,Intel® Xeon® Processor D-1557 
Essentials
Product Collection,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor,Intel® Xeon® D Processor
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,TBD,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,D-1533N,D-1513N,D-1543N,D-1523N,D-1553N,D-2123IT,D-2141I,D-2143IT,D-2142IT,D-2145NT,D-2146NT,D-2161I,D-2177NT,D-2163IT,D-2173IT,D-2166NT,D-2187NT,D-2183IT,D-1524N,D-1653N,D-1602,D-1622,D-1623N,D-1627,D-1637,D-1633N,D-1649N,D-1736NT,D-1733NT,D-1746TER,D-1749NT,D-1713NT,D-1735TR,D-1713NTE,D-1715TER,D-1732TE,D-1718T,D-1712TR,D-1714,D-1739,D-1736,D-1726,D-1722NE,D-1734NT,D-1702,D-1747NTE,D-1748TE,D-2712T,D-2733NT,D-2738,D-2745NX,D-2753NT,D-2757NX,D-2776NT,D-2777NX,D-2766NT,D-2779,D-2795NT,D-2799,D-2798NX,D-2798NT,D-2752NTE,D-2752TER,D-2796NT,D-2775TE,D-2796TE,D-2786NTE,D-2739NT,D-1731NTE,D-1823NT,D-1834,D-1846,D-1813NT,D-1848TER,D-1844NT,D-2832NT,D-2896NT,D-2899NT,D-2843NT,D-2896TER,D-2876NT,D-1520,D-1540,D-1529,D-1527,D-1537,D-1528,D-1541,D-1539,D-1518,D-1521,D-1531,D-1548,D-1559,D-1577,D-1571,D-1567,D-1557
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,,,,,,,,,,,,,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Recommended Customer Price,$538.00,$219.00,$746.00,$293.00,$979.00,$244.00,$636.00,$648.00,$501.00,$575.00,$734.00,$1103.00,$1652.00,$1065.00,$1407.00,$1150.00,$2277.00,$2020.00,$305.00,$856.00,$121.00,$195.00,$293.00,$231.00,$464.00,$538.00,$807.00,$1007.00,$792.00,$1069.00,$1258.00,$314.00,$730.00,$326.00,$314.00,$730.00,$302.00,$263.00,$238.00,$817.00,$667.00,$490.00,$402.00,$755.00,$124.00,$1320.00,$1069.00,$349.00,,$700.00,$1213.00,$1097.00,$1575.00,$1751.00,$2101.00,$1224.00,$1529.00,$2228.00,$1972.00,$2429.00,$2159.00,$1166.00,$1061.00,$2124.00,$1751.00,$2101.00,$2101.00,$949.00,$779.00,$436.00,$297.00,$667.00,$314.00,$1005.00,$754.00,$654.00,$1751.00,$2138.00,$826.00,$2101.00,$1283.00,$241.00,$636.00,$305.00,$244.00,$538.00,$366.00,$636.00,$556.00,$220.00,$241.00,$380.00,$636.00,$831.00,$1346.00,$1335.00,$1224.00,$795.00

CPU Specifications
Total Cores,6,4,8,4,8,4,8,8,8,8,8,12,14,12,14,12,16,16,4,8,2,4,4,4,6,6,8,8,8,10,10,4,8,4,4,8,4,4,4,8,8,6,6,8,2,10,10,4,8,8,10,12,12,16,16,14,16,20,20,20,20,12,12,20,16,20,18,8,8,6,8,10,4,10,10,8,20,22,10,20,16,4,8,4,4,8,6,8,8,4,4,6,8,12,16,16,12,12
Total Threads,12,8,16,8,16,8,16,16,16,16,16,24,28,24,28,24,32,32,8,16,4,8,8,8,12,12,16,16,16,20,20,8,16,8,8,16,8,8,8,16,16,12,12,16,4,20,20,8,16,16,20,24,24,32,32,28,32,40,40,40,40,24,24,40,32,40,36,16,16,12,16,20,8,20,20,16,40,44,20,40,32,8,16,8,8,16,12,16,16,8,8,12,16,24,32,32,24,24
Max Turbo Frequency,2.70 GHz,2.20 GHz,2.50 GHz,2.60 GHz,2.70 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.00 GHz,2.6 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.00 GHz,3.50 GHz,3.10 GHz,3.10 GHz,3.50 GHz,3.50 GHz,3.40 GHz,3.30 GHz,3.50 GHz,3.00 GHz,3.50 GHz,3.10 GHz,3.40 GHz,3.50 GHz,3.40 GHz,3.50 GHz,2.70 GHz,3.10 GHz,1.70 GHz,3.50 GHz,3.40 GHz,3.00 GHz,3.20 GHz,3.50 GHz,3.50 GHz,3.10 GHz,3.50 GHz,3.20 GHz,3.30 GHz,3.10 GHz,3.40 GHz,3.10 GHz,3.40 GHz,3.10 GHz,3.10 GHz,3.00 GHz,2.80 GHz,3.10 GHz,3.10 GHz,3.10 GHz,3.10 GHz,3.5 GHz,2.8 GHz,3.5 GHz,2.9 GHz,3.1 GHz,2.4 GHz,3.1 GHz,3.1 GHz,3.2 GHz,3.2 GHz,3.1 GHz,3.2 GHz,3.2 GHz,3.1 GHz,2.60 GHz,2.60 GHz,1.30 GHz,2.70 GHz,2.30 GHz,2.50 GHz,2.70 GHz,2.20 GHz,2.20 GHz,2.70 GHz,2.70 GHz,2.60 GHz,2.10 GHz,2.10 GHz,2.10 GHz,2.70 GHz,2.10 GHz
