Intel® Product Specification Comparison
01/07/2025 03:15:10 PM
 ,Intel® Xeon® E-2124G Processor ,Intel® Xeon® E-2176G Processor ,Intel® Xeon® E-2176M Processor ,Intel® Xeon® E-2254ME Processor ,Intel® Xeon® E-2276ME Processor ,Intel® Xeon® E-2254ML Processor ,Intel® Xeon® E-2276ML Processor ,Intel® Xeon® E-2278GEL Processor ,Intel® Xeon® E-2226GE Processor ,Intel® Xeon® E-2278GE Processor ,Intel® Xeon® E-2336 Processor ,Intel® Xeon® E-2324G Processor ,Intel® Xeon® E-2356G Processor ,Intel® Xeon® E-2334 Processor ,Intel® Xeon® E-2314 Processor ,Intel® Xeon® E-2374G Processor ,Intel® Xeon® E-2378 Processor ,Intel® Xeon® E-2378G Processor ,Intel® Xeon® E-2388G Processor ,Intel® Xeon® E-2386G Processor ,Intel® Xeon® E-2488 Processor ,Intel® Xeon® E-2478 Processor ,Intel® Xeon® E-2468 Processor ,Intel® Xeon® E-2486 Processor ,Intel® Xeon® E-2456 Processor ,Intel® Xeon® E-2436 Processor ,Intel® Xeon® E-2434 Processor ,Intel® Xeon® E-2414 Processor 
Essentials
Product Collection,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor
Vertical Segment,Server,Server,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,E-2124G,E-2176G,E-2176M,E-2254ME,E-2276ME,E-2254ML,E-2276ML,E-2278GEL,E-2226GE,E-2278GE,E-2336,E-2324G,E-2356G,E-2334,E-2314,E-2374G,E-2378,E-2378G,E-2388G,E-2386G,E-2488,E-2478,E-2468,E-2486,E-2456,E-2436,E-2434,E-2414
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7

CPU Specifications
Total Cores,4,6,6,4,6,4,6,8,6,8,6,4,6,4,4,4,8,8,8,6,8,8,8,6,6,6,4,4
Total Threads,4,12,12,8,12,8,12,16,6,16,12,4,12,8,4,8,16,16,16,12,16,16,16,12,12,12,8,4
Max Turbo Frequency,4.50 GHz,4.70 GHz,4.40 GHz,3.80 GHz,4.50 GHz,3.50 GHz,4.20 GHz,3.90 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.60 GHz,5.00 GHz,4.80 GHz,4.50 GHz,5.00 GHz,4.80 GHz,5.10 GHz,5.10 GHz,5.10 GHz,5.60 GHz,5.20 GHz,5.2 GHz,5.6 GHz,5.10 GHz,5.00 GHz,5.00 GHz,4.50 GHz
