Intel® Product Specification Comparison
01/07/2025 03:15:50 PM
 ,Intel® Xeon® w5-2465X Processor ,Intel® Xeon® w7-2495X Processor ,Intel® Xeon® w7-2475X Processor ,Intel® Xeon® w9-3475X Processor ,Intel® Xeon® w5-2455X Processor ,Intel® Xeon® w5-3435X Processor ,Intel® Xeon® w7-3445 Processor ,Intel® Xeon® w3-2435 Processor ,Intel® Xeon® w5-2445 Processor ,Intel® Xeon® w5-3425 Processor ,Intel® Xeon® w3-2423 Processor ,Intel® Xeon® w3-2425 Processor ,Intel® Xeon® w5-2545 Processor ,Intel® Xeon® w7-2595X Processor ,Intel® Xeon® w7-2575X Processor ,Intel® Xeon® w3-2525 Processor ,Intel® Xeon® w9-3595X Processor ,Intel® Xeon® w5-3535X Processor ,Intel® Xeon® w5-3525 Processor ,Intel® Xeon® w7-3545 Processor ,Intel® Xeon® w9-3575X Processor 
Essentials
Product Collection,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor
Vertical Segment,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation
Processor Number,w5-2465X,w7-2495X,w7-2475X,w9-3475X,w5-2455X,w5-3435X,w7-3445,w3-2435,w5-2445,w5-3425,w3-2423,w3-2425,w5-2545,w7-2595X,w7-2575X,w3-2525,w9-3595X,w5-3535X,w5-3525,w7-3545,w9-3575X
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
Recommended Customer Price,$1389.00-$1399.00,$2189.00-$2199.00,$1789.00-$1799.00,$3739.00-$3749.00,$1039.00-$1049.00,$1589.00-$1599.00,$1989.00,$669.00,$839.00,$1189.00,$359.00,$529.00,$889.00,$2039.00-$2049.00,$1689.00-$1699.00,$609.00,$5889.00,$1689.00-$1699.00,$1339.00,$2039.00,$3789.00-$3799.00

CPU Specifications
Total Cores,16,24,20,36,12,16,20,8,10,12,6,6,12,26,22,8,60,20,16,24,44
# of Performance-cores,16,24,20,36,12,16,20,8,10,12,6,6,12,26,22,8,60,20,16,24,44
# of Efficient-cores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Threads,32,48,40,72,24,32,40,16,20,24,12,12,24,52,44,16,120,40,32,48,88
Max Turbo Frequency,4.70 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.50 GHz,4.60 GHz,4.60 GHz,4.20 GHz,4.40 GHz,4.7 GHz,4.8 GHz,4.8 GHz,4.5 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,4.70 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.50 GHz,4.60 GHz,4.60 GHz,4.20 GHz,4.40 GHz,4.7 GHz,4.8 GHz,4.8 GHz,4.5 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz,4.8 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,4.50 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.40 GHz,4.50 GHz,4.60 GHz,4.30 GHz,4.40 GHz,4.40 GHz,4.00 GHz,4.00 GHz,4.5 GHz,4.6 GHz,4.6 GHz,4.3 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz,4.6 GHz
Processor Base Frequency,3.10 GHz,2.50 GHz,2.60 GHz,2.20 GHz,3.20 GHz,3.10 GHz,2.60 GHz,3.10 GHz,3.10 GHz,3.20 GHz,2.10 GHz,3.00 GHz,3.5 GHz,2.8 GHz,3 GHz,3.5 GHz,2 GHz,2.9 GHz,3.2 GHz,2.7 GHz,2.2 GHz
Cache,33.75 MB Intel® Smart Cache,45 MB Intel® Smart Cache,37.5 MB Intel® Smart Cache,82.5 MB Intel® Smart Cache,30 MB Intel® Smart Cache,45 MB Intel® Smart Cache,52.5 MB Intel® Smart Cache,22.5 MB Intel® Smart Cache,26.25 MB Intel® Smart Cache,30 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,30 MB Intel® Smart Cache,48.75 MB Intel® Smart Cache,45 MB Intel® Smart Cache,22.5 MB Intel® Smart Cache,112.5 MB Intel® Smart Cache,52.5 MB Intel® Smart Cache,45 MB Intel® Smart Cache,67.5 MB Intel® Smart Cache,97.5 MB Intel® Smart Cache
Intel® UPI Speed,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s,0 GT/s
Max # of UPI Links,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
